player,rumuoured_club
Anthony Martial,FC Barcelona
Mijat Gacinovic,Manchester United
Daley Blind,Galatasaray SK
A. Mitrovic,Brighton &amp;amp; Hove Albion
Lucas Torreira,Inter Milan
Thomas Meunier,Juventus FC
Raúl Meireles,Cagliari Calcio
Faouzi Ghoulam,Manchester City
Mathieu Flamini,Derby County
Bacary Sagna,Leicester City
Carlton Cole,Crystal Palace
Ross McCormack,Melbourne City FC
Sadio Mané,Real Madrid
Lucas Lima,Manchester United
Dries Mertens,Arsenal FC
Leon Goretzka,Liverpool FC
Alfredo Morelos,Aston Villa
C. Melissis,Al-Hilal Omdurman
L. Pellegrini,Manchester United
Adrien Rabiot,Inter Milan
Thomas Meunier,Manchester United
Stefan de Vrij,Liverpool FC
Andrea Belotti,Real Madrid
Mihailo Mitrov,FCS Bucharest
Diego Costa,Fenerbahce SK
Vincent Janssen,Fenerbahce SK
Raúl Meireles,Cagliari Calcio
Johannes Geis,Sevilla FC
Dani Parejo,FC Barcelona
Paulo Dybala,FC Barcelona
Vincent Janssen,Brighton &amp;amp; Hove Albion
Marc Wilson,Sunderland AFC
Duje Cop,Standard Liège
Ivan Strinic,UC Sampdoria
Robert Muric,SC Braga
F. Llorente,Everton FC
Hugo Almeida,HNK Hajduk Split
Filip Benkovic,Celtic FC
Panagiotis Kone,AEK Athens
Jürgen Locadia,Wolverhampton Wanderers
E. Mangala,Crystal Palace
Tim Krul,Brighton &amp;amp; Hove Albion
Alex Song,Birmingham City
Lucas Pérez,Everton FC
Michy Batshuayi,Everton FC
Paulo Dybala,FC Barcelona
Calum Chambers,Leicester City
Oumar Niasse,Crystal Palace
F. Llorente,Tottenham Hotspur
Á. Di María,FC Barcelona
Paulo Dybala,FC Barcelona
Sergio Araujo,AEK Athens
Panagiotis Kone,AEK Athens
T. Vermaelen,Everton FC
André Gomes,West Ham United
André Gomes,Tottenham Hotspur
Panagiotis Kone,AEK Athens
Sergio Araujo,AEK Athens
P. Wollscheid,FC Metz
Jadon Sancho,Manchester United U18
Matthew Willock,FC Utrecht
Riyad Mahrez,Manchester United
Nahki Wells,Burnley FC
Waris Majeed,West Ham United
Jordy Clasie,Club Brugge KV
Wahbi Khazri,Stade Rennais FC
Diafra Sakho,Stade Rennais FC
Demarai Gray,Crystal Palace
G. Chakvetadze,KAA Gent
Marvin Johnson,Middlesbrough FC
Dwight Gayle,Fulham FC
Jakov Puljic,HNK Rijeka
Divock Origi,VfL Wolfsburg
G. Imbula,FC Toulouse
Jack Colback,Hull City
Divock Origi,AS Monaco
G. Krychowiak,West Bromwich Albion
Aden Flint,Birmingham City
Harlee Dean,Birmingham City
Grant Hanley,Norwich City
David Wheeler,Queens Park Rangers
Domagoj Vida,Inter Milan
Jason Davidson,HNK Rijeka
Maurício,PAOK Thessaloniki
Emre Mor,Celta de Vigo
E. Mangala,West Bromwich Albion
Renato Sanches,Swansea City
Rafinha,AC Milan
M'Baye Niang,Torino FC
Gabriel Paletta,SS Lazio
Divock Origi,Tottenham Hotspur
Nikola Vlasic,Everton FC
Stevan Jovetic,AS Monaco
Souza,West Bromwich Albion
AEK Athens want,re-sign Sergio Araujo
P. Lasogga,Leeds United
Thomas Lemar,Liverpool FC
Modibo Maïga,FK Partizan Belgrade
Gerard Gohou,FK Partizan Belgrade
Saman Ghoddos,Queens Park Rangers
Jordan Hugill,Reading FC
John McGinn,Nottingham Forest
Jordan Rhodes,Wolverhampton Wanderers
Kevin Wimmer,Stoke City
N. Tagliafico,Newcastle United
Nikola Vlasic,Everton FC
André Gomes,Juventus FC
Loïc Rémy,UD Las Palmas
Jackson Irvine,Hull City
Islam Slimani,Watford FC
Patrik Schick,SSC Napoli
Jonny Castro,VfB Stuttgart
Pawel Cibicki,Leeds United
Pau López,Brighton &amp;amp; Hove Albion
Islam Slimani,AS Monaco
Robert Green,Huddersfield Town
S. Mustafi,Inter Milan
Jason Davidson,HNK Rijeka
Iuri Medeiros,VfL Wolfsburg
Jerome Sinclair,Sheffield United
F. Llorente,Chelsea FC
Stevan Jovetic,Newcastle United
Diego Costa,Everton FC
Nacer Chadli,FC Schalke 04
Sergio Araujo,AEK Athens
Renato Sanches,Liverpool FC
Stuart Dallas,Norwich City
O. Dembélé,FC Barcelona
C. Carter-Vickers,Sheffield United
O. Dembélé,FC Barcelona
B. Höwedes,Juventus FC
Jota,Hull City
Oliver Burke,West Bromwich Albion
Lautaro Acosta,Atlético Madrid
Dennis Praet,Everton FC
Jack Wilshere,Aston Villa
T. Kolodziejczak,OGC Nice
Gonçalo Guedes,Valencia CF
Steven Bergwijn,FC Barcelona
Isaac Success,Hull City
J. Guilavogui,Stoke City
J. Guilavogui,West Bromwich Albion
Michel Vorm,Crystal Palace
Rafinha,AC Milan
Filip Bradaric,Bologna FC 1909
Fran Tudor,Deportivo Alavés
B. Höwedes,Inter Milan
André Gomes,Manchester United
Didier Ndong,West Ham United
R. Snodgrass,Aston Villa
Rivaldo Coetzee,Celtic FC
Siem de Jong,Ajax Amsterdam
F. Hadergjonaj,Huddersfield Town
Willian,FC Barcelona
Jay-Roy Grot,Leeds United
Barry Bannan,Hull City
Jota,Middlesbrough FC
Maxwel Cornet,AS Roma
Lucas Alario,Bayer 04 Leverkusen
Á. Di María,FC Barcelona
Pepe Reina,Paris Saint-Germain
C. Mavrias,HNK Rijeka
Maxwell Acosty,HNK Rijeka
Jairo Samperio,Hannover 96
Kasper Dolberg,AS Monaco
Raúl Jiménez,Everton FC
Oliver Burke,Crystal Palace
Waris Majeed,Burnley FC
Jon Toral,Hull City
Santiago Arias,Swansea City
Adama Traoré,LOSC Lille
Nampalys Mendy,Atalanta BC
Andreas Pereira,Valencia CF
Emre Mor,AC Milan
Gonçalo Guedes,Valencia CF
Chuba Akpom,Celtic FC
Chuba Akpom,Leeds United
E. Mangala,Stoke City
Kevin Wimmer,Crystal Palace
Stevan Jovetic,Brighton &amp;amp; Hove Albion
Jon Toral,Hull City
Waris Majeed,Burnley FC
Ognjen Vranjes,Crystal Palace
Nikola Kalinic,AC Milan
Afriyie Acquah,Birmingham City
G. van der Wiel,Cagliari Calcio
Pape Cheikh,Olympique Lyon
S. Kingsley,Hull City
Rudy Gestede,Leeds United
G. Krychowiak,Olympique Lyon
Dennis Praet,Newcastle United
Nikola Kalinic,AC Milan
J. Seri,FC Barcelona
T. Alderweireld,Chelsea FC
Jonathas,Hannover 96
Patrik Schick,AS Roma
S. Ascacíbar,VfB Stuttgart
Samir Nasri,Antalyaspor
Lionel Messi,Manchester City
Jozo Simunovic,Burnley FC
E. Sviatchenko,FC Copenhagen
Kenneth Zohore,Brighton &amp;amp; Hove Albion
João Cancelo,Inter Milan
J. Seri,FC Barcelona
Harry Forrester,AFC Wimbledon
Yerry Mina,FC Barcelona
Bozo Mikulic,UC Sampdoria
Julian Draxler,Arsenal FC
Á. Di María,FC Barcelona
Joel Untersee,HNK Rijeka
Julian Draxler,FC Barcelona
Alexis Sánchez,FC Barcelona
Dele Alli,FC Barcelona
George Hirst,Leicester City
Sam Clucas,Swansea City
Kevin Wimmer,West Bromwich Albion
M'Baye Niang,Spartak Moscow
O. Dembélé,FC Barcelona
G. Kondogbia,Inter Milan
Diego Costa,Deportivo de La Coruña
Ryan Shotton,Middlesbrough FC
Kenneth Zohore,Hull City
Jonny Evans,Manchester City
Mathieu Debuchy,Olympique Marseille
K. Boateng,Eintracht Frankfurt
Marcelo Hermes,NK Osijek
Arda Turan,Galatasaray SK
Dave Tarpey,Leyton Orient
Dave Tarpey,Charlton Athletic
Sone Aluko,Reading FC
Denis Suárez,SSC Napoli
Quincy Promes,AS Roma
G. Simeone,ACF Fiorentina
Kasper Dolberg,AC Milan
Marco Asensio,Arsenal FC
AC Milan want,re-sign Z. Ibrahimovic
Falcao,AC Milan
Kylian Mbappé wants,join Paris Saint-Germain
Nikola Kalinic,AC Milan
P. Aubameyang wants,join AC Milan
Burton Albion want,re-sign Cauley Woodrow
E. Mangala,Inter Milan
Miquel Nelom,Celtic FC
Ryan Sessegnon,Tottenham Hotspur
Florin Andone,Burnley FC
João Escoval,HNK Rijeka
Filipe Ferreira,HNK Rijeka
Carlos Bacca,Villarreal CF
Nikola Kalinic,AC Milan
Carlos Bacca,Villarreal CF
Panagiotis Kone,AEK Athens
Luciano Vietto,UC Sampdoria
Vieirinha,PAOK Thessaloniki
Vieirinha,VfB Stuttgart
O. Dembélé,FC Barcelona
Jeremy Toljan,Borussia Dortmund
Joe Bennett,Fulham FC
J. Seri,Liverpool FC
André Carrillo,Watford FC
Jesé,Stoke City
Paulinho,FC Barcelona
O. Dembélé,FC Barcelona
Paulo Dybala,FC Barcelona
Eden Hazard,FC Barcelona
Á. Di María,FC Barcelona
O. Dembélé,FC Barcelona
Dele Alli,FC Barcelona
Eden Hazard,FC Barcelona
André Gomes,Guangzhou Evergrande Taobao
Valon Behrami,Udinese Calcio
Mato Milos,SL Benfica
Domagoj Vida,Besiktas JK
Ivan Strinic,ACF Fiorentina
Paulinho,FC Barcelona
C. Eriksen,FC Barcelona
Chris Wood,Burnley FC
Georgi Milanov,SV Werder Bremen
Georgi Milanov,SC Freiburg
G. Kondogbia,Valencia CF
Yoric Ravet,SC Freiburg
Gabriel Barbosa,Sporting CP
Ryan Kent,SC Freiburg
Pape Cheikh,Tottenham Hotspur
Ivan Perisic,FC Barcelona
Bruno Amorim,Manchester United U23
Michael Seaton,Stabaek IF
Emre Can,Juventus FC
Maxwel Cornet,1. FC Köln
Jesé,ACF Fiorentina
Tomás Rincón,Torino FC
Maxwel Cornet,Watford FC
Maxwel Cornet,Borussia Dortmund
Stevan Jovetic,Sevilla FC
Marvin Johnson,Hull City
Carlos Bacca,Sevilla FC
Stefan de Vrij,Juventus FC
José Izquierdo,Brighton &amp;amp; Hove Albion
Ogenyi Onazi,Birmingham City
Sam Clucas,Burnley FC
W. Carvalho,West Ham United
Lewis Baker,Middlesbrough FC
T. Solomon,FK Partizan Belgrade
I. Martínez,FC Barcelona
Kenedy,Newcastle United
Eden Hazard,FC Barcelona
Sardar Azmoun,SS Lazio
Sergio Busquets,Manchester City
Kylian Mbappé,Paris Saint-Germain
O. Dembélé,FC Barcelona
Sunderland AFC want,re-sign G. Leadbitter
Marten de Roon,Atalanta BC
I. Martínez,FC Barcelona
Kevin Strootman,Juventus FC
Arturo Vidal,Liverpool FC
Zoran Nizic,Göztepe
Paco Alcácer,AS Roma
Arda Turan,Liverpool FC
K. Ansarifard,CA Osasuna
Marco Verratti,FC Barcelona
Kylian Mbappé,FC Barcelona
Paulo Dybala,FC Barcelona
O. Dembélé,FC Barcelona
Eden Hazard,FC Barcelona
Sardar Azmoun,SS Lazio
Ahmed Musa,Hull City
Andre Gray,Watford FC
Julian Draxler,FC Barcelona
Paco Alcácer,AS Roma
Paulo Dybala,FC Barcelona
K. Ansarifard,CA Osasuna
Kylian Mbappé,Paris Saint-Germain
Kylian Mbappé,FC Barcelona
O. Dembélé,FC Barcelona
Eden Hazard,FC Barcelona
Sardar Azmoun,SS Lazio
João Cancelo,Chelsea FC
Marc Muniesa,Girona FC
S. Larsson,Hull City
Ben Woodburn,Hannover 96
Ryan Kent,Hannover 96
Serge Aurier,Chelsea FC
Patrick Roberts,Southampton FC
Carl Jenkinson,Swansea City
Thomas Lemar,FC Barcelona
Ballou Tabla wants,join Chelsea FC
Hakim Ziyech,Liverpool FC
Gabriel Paulista,Valencia CF
Gabriel Paulista,Valencia CF
Nikola Kalinic,AC Milan
Diego Costa,AC Milan
Z. Ibrahimovic,Manchester United
André Almeida,Southampton FC
André Almeida,Crystal Palace
Patrick Roberts,OGC Nice
Jan Oblak,Paris Saint-Germain
C. Borthwick-Jackson,Leeds United
João Cancelo,Juventus FC
João Cancelo,Tottenham Hotspur
Luuk de Jong,Crystal Palace
Davy Pröpper,Brighton &amp;amp; Hove Albion
Josip Pivaric,Dynamo Kyiv
Ahmed Musa,West Bromwich Albion
Allan McGregor,Nottingham Forest
Z. Ibrahimovic,AC Milan
T. Fosu-Mensah,Crystal Palace
T. Fosu-Mensah,Crystal Palace
Sergi Roberto,Chelsea FC
Sergi Roberto,Manchester United
Jake Turner,Manchester United
Ademola Lookman,Derby County
Lucas Lima,Swansea City
Andros Townsend,Stoke City
Stevan Jovetic,Olympique Marseille
Ezequiel Garay,Juventus FC
Jeison Murillo,Valencia CF
T. Vermaelen,Everton FC
E. Choupo-Moting,Stoke City
Ben Gibson,Manchester City
Gareth Barry,West Bromwich Albion
Gareth Barry,West Bromwich Albion
Mario Lemina,Southampton FC
Dani Schahin,Burnley FC
Eric Dier,Bayern Munich
Gary Medel,Besiktas JK
Jonathan Cafú,FC Girondins Bordeaux
Jordan Amavi,Olympique Marseille
Chris Wood,Besiktas JK
Jota,West Ham United
S. Ristovski,Sporting CP
Benjamin André,Liverpool FC
G. Varela,CA Peñarol
Karl Darlow,West Ham United
Adrián,Newcastle United
Bacary Sagna,Red Star Belgrade
Stanisa Mandic,FK Partizan Belgrade
Marko Basa,FK Partizan Belgrade
Y. Mulumbu,FK Partizan Belgrade
Jairo da Silva,FK Partizan Belgrade
Johan Djourou,Sheffield Wednesday
Mateo Barac,Ajax Amsterdam
I. Martínez,FC Barcelona
Emre Mor,Inter Milan
C. Borthwick-Jackson,Leeds United
C. Borthwick-Jackson,Leeds United
K. Nordfeldt,Nottingham Forest
K. Nordfeldt,Bristol City
Rachid Ghezzal,AS Monaco
Mario Lemina,Stoke City
Jadon Sancho,Borussia Dortmund
Joselu,Newcastle United
Alberto Moreno,Watford FC
G. Simeone,Tottenham Hotspur
Stephy Mavididi,Preston North End
Ravel Morrison,Birmingham City
Paulo Gazzaniga,Tottenham Hotspur
P. Retsos,Bayer 04 Leverkusen
Moussa Sissoko,Trabzonspor
Haris Duljevic,SG Dynamo Dresden
Neymar wants,join Paris Saint-Germain
Rachid Alioui,SC Amiens
Aaron Lennon,Watford FC
Cyle Larin,Besiktas JK
Javier Pastore,Inter Milan
Oumar Niasse,Brighton &amp;amp; Hove Albion
Kieran Dowell,Nottingham Forest
Wesley Sneijder,OGC Nice
Yann Karamoh,Inter Milan
S. Ascacíbar,Zenit St. Petersburg
Rachid Alioui,SC Amiens
Tom Lawrence,Derby County
Wesley Hoedt,Everton FC
Thomas Mangani,AEK Athens
Jakob Johansson,FC Toulouse
Jakob Johansson,UD Las Palmas
Joe Lolley,Sheffield United
Harry Bunn,Ipswich Town
Demarai Gray,AFC Bournemouth
Hatem Ben Arfa,Fenerbahce SK
Jason,VfL Wolfsburg
Emre Mor,ACF Fiorentina
Samir Nasri,OGC Nice
Lucas Pérez,Newcastle United
D. Drinkwater,Chelsea FC
Wesley Hoedt,Southampton FC
Richarlison,Watford FC
Matías Vecino,Inter Milan
Keita Baldé,Juventus FC
Juan Foyth,Paris Saint-Germain
Ryad Boudebouz,Real Betis Balompié
Yacine Brahimi,SS Lazio
O. Zinchenko,SSC Napoli
S. Feghouli,Galatasaray SK
Jesús Navas,Sevilla FC
Serge Aurier,Tottenham Hotspur
Freddie Woodman,Heart of Midlothian FC
Badou Ndiaye,Galatasaray SK
H. Badstuber,VfB Stuttgart
Tom Trybull,Norwich City
Fernando,Galatasaray SK
Patryk Lipski,HNK Rijeka
Karol Mets,NAC Breda
Júlio Baptista,Bolton Wanderers
T. Vermaelen,West Bromwich Albion
Borna Barisic,Dynamo Kyiv
Ante Rebic,Huddersfield Town
E. Rivière,Osmanlispor FK
E. Rivière,FC Metz
Jeremain Lens,Besiktas JK
Charlie Mulgrew,Sheffield Wednesday
A. Kamara,Fulham FC
C. Telo,Molde FK
L. Dendoncker,Manchester United
Tom Lawrence,Brighton &amp;amp; Hove Albion
G. Bellusci,FK Partizan Belgrade
Renato Sanches,Chelsea FC
Ross Barkley,Chelsea FC
Ross Barkley,Chelsea FC
Chris Wood,Swansea City
Obbi Oulare,Royal Antwerp FC
Neymar,NK Lucko
Neymar wants,join Al-Arabi Sports Club
Obbi Oulare,Royal Antwerp FC
Ljubomir Fejsa,Tottenham Hotspur
Emil Forsberg,Manchester United
Kasper Dolberg,Real Madrid
Samir Nasri,AS Roma
Ross Barkley,Arsenal FC
Jadon Sancho,Arsenal FC
Michael Hector,Hull City
Ashley Fletcher,Middlesbrough FC
Dominik Glavina,NK Olimpija Ljubljana
Cyle Larin,Besiktas JK
Mikel Merino,Newcastle United
Tom Davies,Chelsea FC
Keita Baldé,Inter Milan
Steven Berghuis,Feyenoord Rotterdam
Lazar Markovic,ACF Fiorentina
Jason Steele,Sunderland AFC
Kylian Mbappé,Manchester City
Jeremy Toljan,Tottenham Hotspur
J. dos Santos,Los Angeles Galaxy
Danilo Pereira,Paris Saint-Germain
Jeremy Toljan,Bayern Munich
Lucas Pérez,Arsenal FC
Adam Phillips,Norwich City
Lewis Grabban,Sunderland AFC
Marco Verratti,Manchester United
K. Manolas,Juventus FC
A. Candreva,Chelsea FC
Aymen Abdennour,Watford FC
Z. Ibrahimovic,AC Milan
Ben Gibson,West Bromwich Albion
Jack Wilshere,Antalyaspor
W. Silva,FC Girondins Bordeaux
Sam Clucas,Newcastle United
Carlos Bacca,Olympique Marseille
Péter Gulácsi,Newcastle United
Ondrej Mazuch,Hull City
G. Imbula,AS Monaco
Chelsea FC want,re-sign Ryan Bertrand
Gerónimo Rulli,SSC Napoli
Joseph Aidoo,KRC Genk
Sam Gallagher,Wolverhampton Wanderers
Sam Gallagher,Wolverhampton Wanderers
Neymar,Paris Saint-Germain
Yann Karamoh,Inter Milan
Ross McCormack,Sunderland AFC
Emiliano Rigoni,Zenit St. Petersburg
Valon Berisha,Stoke City
Malang Sarr,Chelsea FC
Oliver Norwood,Fulham FC
Anthony Stokes,Hibernian FC
Alexis Sánchez,Paris Saint-Germain
Rachid Ghezzal,Watford FC
Ryan Shotton,Hull City
Hrvoje Milic,Olympiacos Piraeus
Darren Randolph,Middlesbrough FC
Neymar,Paris Saint-Germain
F. Bernardeschi,Juventus FC
Jack Wilshere,West Ham United
Jack Wilshere,Swansea City
Diogo Jota,Wolverhampton Wanderers
Rafinha,Arsenal FC
Shane Long,West Ham United
Jonathan Cafú,West Ham United U23
Aly Cissokho,Evkur Yeni Malatyaspor
G. Kondogbia,FC Barcelona
G. Kondogbia,FC Barcelona
Fernando,Galatasaray SK
F. Bernardeschi,Juventus FC
Modou Barrow,Reading FC
Robbin Ruiter,Sunderland AFC
Spyros Risvanis,CF Belenenses
Milan Badelj,TSG 1899 Hoffenheim
Riyad Mahrez,Tottenham Hotspur
Max Gradel,FC Toulouse
Jadon Sancho,Arsenal FC
Jadon Sancho,Tottenham Hotspur
Mason Mount,Vitesse Arnhem
Philip Billing,Swansea City
E. Mangala,Sevilla FC
Andrés Iniesta,Inter Milan
C. Mafoumbi,Blackpool FC
Rúben Vinagre,Wolverhampton Wanderers
Connor Ripley,Motherwell FC
C. Borthwick-Jackson,Leeds United
Matt Derbyshire,Leeds United
Javi García,Olympique Marseille
Javi García,Olympique Lyon
Joel Robles,Deportivo de La Coruña
Diego Reyes,VfB Stuttgart
Neymar,Paris Saint-Germain
Max Kruse,Spartak Moscow
H. Badstuber,Sevilla FC
Anthony Martial,VfL Wolfsburg
Nacer Chadli,Swansea City
G. Kastanos,Manchester United
Daryl Murphy,Nottingham Forest
Stefano Denswil,Hamburger SV
Y. Konoplyanka,Stoke City
C. Samba,Aston Villa
Lewis Gibson,Everton FC
Juan Riquelme wants,join Associação Chapecoense de Futebol
Ronaldinho,Associação Chapecoense de Futebol
G. Samaras,Southampton FC
H. Badstuber,Manchester City
Joe Ledley,Aston Villa
Rachid Ghezzal,Arsenal FC
Jesús Navas,Newcastle United
Wesley Sneijder,Everton FC
Marios Andreou,Apollon Limassol
Manchester United want,re-sign Z. Ibrahimovic
P. Christou,Retired
Dave Tarpey,Wycombe Wanderers
T. De Vincenti wants,rejoin APOEL Nicosia
Carlos de Pena,Free agent
Xandão,Apollon Limassol
G. Kastanos,Everton FC
G. Kastanos,Manchester United
Emile Heskey,Billericay Town
Thomas Müller,Arsenal FC
Thomas Müller,Liverpool FC
Thomas Müller,Juventus FC
Thomas Müller,Chelsea FC
Kevin Stewart,Hull City
Keita Baldé,West Ham United
Hull City want,re-sign F. Campbell
Yann Karamoh,AS Saint-Étienne
Mathias Normann,Brighton &amp;amp; Hove Albion
Tommy Elphick,Birmingham City
Kieran Gibbs,West Bromwich Albion
Diego Rolán,Newcastle United
G. Escalante,Burnley FC
Sheyi Ojo,Fulham FC
J. Manquillo,Newcastle United
Vito Mannone,Reading FC
C. Pasquato,Legia Warszawa
Neymar,Paris Saint-Germain
A. Lindegaard,Hammarby IF
Fedor Smolov,Fenerbahce SK
G. van der Wiel,Crystal Palace
Pepe Reina,Manchester City
Suso,VfL Wolfsburg
Mikel Merino,Athletic Bilbao
Anthony Martial,Besiktas JK
Calum Chambers,Crystal Palace
A. Elmohamady,Aston Villa
Kylian Mbappé,Real Madrid
Mateo Kovacic,Tottenham Hotspur
Renato Sanches,AC Milan
E. Mangala,Besiktas JK
Sergio Agüero,Chelsea FC
Lucas Leiva,SS Lazio
Robbie Keane,Birmingham City
Ashley Cole,Birmingham City
Adam Armstrong,Bolton Wanderers
Jonathan Viera,Swansea City
Tommy Elphick,Sunderland AFC
Danilo,Manchester City
Jetro Willems,Eintracht Frankfurt
Álvaro Negredo,Wolverhampton Wanderers
Loïc Rémy,Olympique Marseille
Loïc Rémy,Everton FC
Jorge Meré,Málaga CF
N. Oliveira,Wolverhampton Wanderers
R. Nainggolan,Inter Milan
Ryan Kent,Hull City
Cengiz Ünder,AS Roma
Renato Sanches,AC Milan
Matej Jelic,HNK Rijeka
Florent Malouda,Phoenix Rising FC
Mario Pasalic,SS Lazio
Anthony Martial,Inter Milan
SL Benfica want,re-sign Renato Sanches
Tom Huddlestone,Derby County
Nemanja Matic,Juventus FC
A. Ranocchia,West Bromwich Albion
Stewart Downing,Birmingham City
Ricardo Pereira,Tottenham Hotspur
Lucas Leiva,SS Lazio
Wesley Sneijder,Montreal Impact
B. Martins Indi,Crystal Palace
Z. Ibrahimovic,Los Angeles FC
Z. Ibrahimovic,Los Angeles Galaxy
B. Assombalonga,Middlesbrough FC
Darren Randolph,Newcastle United
L. Bonucci,AC Milan
Lucas Leiva,SS Lazio
Matty James,Derby County
Jack Wilshere,UC Sampdoria
Ahmed Hegazy,West Bromwich Albion
Steven Caulker,Celtic FC
Nélson Semedo,FC Barcelona
Sammir,Wuhan Zall
Bacary Sagna,West Bromwich Albion
Bacary Sagna,Crystal Palace
L. Bonucci,AC Milan
James Vaughan,Sunderland AFC
B. Assombalonga,Watford FC
Eloy Room,Everton FC
Riyad Mahrez,AS Roma
Z. Kuzmanović,Málaga CF
Cengiz Ünder,AS Roma
Douglas Luiz,Manchester City
J. Montero,Newcastle United
Jairo Riedewald,Crystal Palace
Fabian Schär,Hannover 96
Joe Hart,Liverpool FC
Danilo,Chelsea FC
Dani Alves,Paris Saint-Germain
Jannich Storch,MVV Maastricht
Jairo Riedewald,Everton FC
Lamine Koné,Burnley FC
Kurt Zouma,West Bromwich Albion
Kurt Zouma,Stoke City
Luciano Vietto,Southampton FC
G. Makaridze,Deportivo de La Coruña
Bachana Arabuli,Balmazújváros FC
Dani Alves,Paris Saint-Germain
C. Träsch,VfB Stuttgart
E. Mangala,Paris Saint-Germain
Andy Yiadom,Huddersfield Town
Toni Leistner,Norwich City
I. Martínez,Manchester City
Jacob Murphy,Newcastle United
Sheyi Ojo,Middlesbrough FC
Domingos Quina,Arsenal FC
A. Aréola,Newcastle United
Caleb Ekuban,Leeds United
Tongo Doumbia,GNK Dinamo Zagreb
Kamil Glik,Tottenham Hotspur
R. Loftus-Cheek,Crystal Palace
C. Benteke,Everton FC
Matija Nastasic,AS Roma
Adama Traoré,Newcastle United
Badou Ndiaye,West Ham United
Badou Ndiaye,Newcastle United
Olivier Ntcham,Celtic FC
Will Norris,Wolverhampton Wanderers
Dominic Samuel,Blackburn Rovers
Jack Cork,Burnley FC
Juan Foyth,Tottenham Hotspur
Wayne Rooney,Everton FC
N. Oliveira,Reading FC
Renan Bressan,FK Rostov
Samu Sáiz,Leeds United
Admir Mehmedi,OGC Nice
Joe Hart,Aston Villa
Mikel Merino,VfB Stuttgart
R. Zieler,VfB Stuttgart
Ignacio Camacho,VfL Wolfsburg
B. Martins Indi,West Ham United
Zanka,Huddersfield Town
R. Snodgrass,Sunderland AFC
Vitolo,Atlético Madrid
Karl Darlow,Reading FC
Michael Hector,Nottingham Forest
Yacouba Sylla,GNK Dinamo Zagreb
Ernest,FK Rostov
Andrea Conti,AC Milan
Lucas,AS Roma
Isaiah Brown,Brighton &amp;amp; Hove Albion
K. Stafylidis,Inter Milan
Cengiz Ünder,SC Freiburg
J. Augustin,RasenBallsport Leipzig
Andre Gray,West Ham United
Sam Gallagher,Birmingham City
J. Walters,Burnley FC
Ali Al-Habsi,Al-Hilal Riyadh
Loïc Rémy,Stade Rennais FC
Dani Ceballos,FC Barcelona
B. Galloway,Sunderland AFC
Tyias Browning,Sunderland AFC
A. Traustason,AEK Athens
Yuri Berchiche,Paris Saint-Germain
B. Assombalonga,Burnley FC
Graham Dorrans,Rangers FC
Joël Veltman,Crystal Palace
Kamil Grosicki,Newcastle United
Kamil Grosicki,Newcastle United
Bastian Oczipka,FC Schalke 04
Z. Junuzovic,Besiktas JK
G. Arlauskis,CFR Cluj
Danny Williams,Huddersfield Town
Scott Malone,Huddersfield Town
Pierre Fonkeu,Sunderland AFC
Vicente Iborra,Leicester City
Marc Wilson,West Bromwich Albion
Rúben Neves,Wolverhampton Wanderers
Joe Hart,Newcastle United
V. Odjidja-Ofoe,FK Krasnodar
E. Emenike,Olympiacos Piraeus
Jefferson,GD Chaves
Mitchell Dijks,Birmingham City
Javi García,FC Girondins Bordeaux
Olivier Giroud,Everton FC
A. Traustason,AEK Athens
Uroš Ćosić,AEK Athens
Uroš Ćosić,AEK Athens
A. Traustason,AEK Athens
H. Calhanoglu,AC Milan
Luiz Gustavo,Olympique Marseille
Diego Rolán,Fulham FC
Luis Muriel,Everton FC
Tom Adeyemi,Ipswich Town
Dani Ceballos,Real Madrid
Olivier Giroud,Everton FC
C. Musonda Jr.,Celtic FC
Kasey Palmer,Huddersfield Town
Stevie May,Aberdeen FC
Shaun Maloney,Aberdeen FC
Joe Hart,Manchester United
George Thomas,Leicester City
Marko Livaja,AEK Athens
Uroš Ćosić,AEK Athens
Uros Djurdjevic,CSKA Moscow
Mehdi Taremi,Olympiacos Piraeus
Marko Livaja,AEK Athens
J. de Guzmán,Eintracht Frankfurt
El Fardou Ben,Nottingham Forest
M. Ellingsen,Strømsgodset IF
S. Lobotka,SK Slavia Prag
Jorge Meré,FC Barcelona
Dalbert,Arsenal FC
Joshua King,Tottenham Hotspur
Jeremy Toljan,Chelsea FC
Cédric Bakambu,West Ham United
Anthony Modeste,West Ham United
Ben Gibson,Leicester City
Jeison Murillo,Stoke City
Thorgan Hazard,Stoke City
Emilijus Zubas,Middlesbrough FC
Ander Herrera,FC Barcelona
Wesley Sneijder,UC Sampdoria
Olivier Giroud,RasenBallsport Leipzig
Joe Gomez,Brighton &amp;amp; Hove Albion
R. Snodgrass wants,join Brighton &amp;amp; Hove Albion
Yusuf Yazici,West Ham United
Chicharito,West Ham United
José Izquierdo,West Ham United
Kieran Gibbs,Watford FC
Julien Ngoy,AS Monaco
J. Augustin,Borussia Dortmund
José Izquierdo,West Ham United
David Ospina,FC Nantes
Fabinho,Paris Saint-Germain
Alessio Cerci,Olympiacos Piraeus
A. Bouchalakis,Nottingham Forest
A. Donis,VfB Stuttgart
Danilo,Juventus FC
Nicolai Müller,VfL Wolfsburg
Gabriel Barbosa,VfB Stuttgart
